date,Value Date,utr,description,Debit (INR),Credit (INR),Type,Balance (INR),amount,bank_transaction_id
2026-07-27,2026-07-27,UTR218242398173,NEFT-CR-NAINATALWAR,,27519.04,NEFT Transfer,370850.25,27519.04,UTR218242398173
2026-08-08,2026-08-08,UTR828067113431,NEFT-CR-HARSHVARDHAN,,20902.0,NEFT Transfer,269567.32,20902.0,UTR828067113431
2026-07-11,2026-07-11,UTR112790183691,NEFT-UNKNOWN CREDIT,,2354.87,Adjustment,219945.49,2354.87,UTR112790183691
2026-07-25,2026-07-25,UTR164339399508,NEFT-CR-MANAVCHUGH,,46728.71,NEFT Transfer,253984.62,46728.71,UTR164339399508
2026-08-09,2026-08-09,UTR897413148929,NEFT-CR-SANYAKAPOOR,,30980.83,NEFT Transfer,339785.17,30980.83,UTR897413148929
2026-07-11,2026-07-11,UTR251113786540,NEFT-CR-ZOYASIDDIQUI,,35331.52,NEFT Transfer,133546.09,35331.52,UTR251113786540
2026-07-25,2026-07-25,UTR668163047993,BANK CHARGES - AMC,8685.7,,Charge,472256.13,-8685.7,UTR668163047993
2026-07-29,2026-07-29,UTR398235977635,NEFT-CR-RAJEEVBAKSHI,,41432.97,NEFT Transfer,216027.71,41432.97,UTR398235977635
2026-07-13,2026-07-13,UTR467567156492,RAZORPAY SETTLEMENT BATCH 2,,140842.09,Settlement,207705.06,140842.09,UTR467567156492
2026-08-03,2026-08-03,UTR301320421069,REVERSAL-CHARGEBACK,,13333.83,Adjustment,162880.82,13333.83,UTR301320421069
2026-07-07,2026-07-07,UTR524971960828,NEFT-CR-YUSUFMERCHANT,,1484.92,NEFT Transfer,69563.22,1484.92,UTR524971960828
2026-07-16,2026-07-16,UTR215256385481,NEFT-CR-DEVANSHOBEROI,,6873.25,NEFT Transfer,462558.65,6873.25,UTR215256385481
2026-07-11,2026-07-11,UTR550585953330,RAZORPAY SETTLEMENT BATCH 1,,176287.23,Settlement,160730.86,176287.23,UTR550585953330
