order_id,date,description,Payment Mode,amount,Order Status,Expected Settlement Date
ORD-5034,2026-07-05,Tara D'Souza,Cash,6016.68,Completed,2026-07-06
ORD-5021,2026-07-03,Owais Ahmed,Card,29848.33,Completed,2026-07-05
ORD-5015,2026-07-30,Sanya Kapoor,Card,43741.5,Completed,2026-08-01
ORD-5008,2026-07-09,Tara D'Souza,UPI,46038.79,Completed,2026-07-11
ORD-5042,2026-07-03,Preeti Rawat,Bank Transfer (NEFT),12285.9,Cancelled Post-Order,2026-07-05
ORD-5016,2026-07-04,Ira Sharma,Card,45294.38,Pending - Payment Not Completed,2026-07-06
ORD-5011,2026-07-01,Farhan Ali,UPI,44606.5,Completed,2026-07-03
ORD-5004,2026-08-11,Dhruv Kashyap,UPI,16100.66,Completed,2026-08-13
ORD-5038,2026-08-06,Faizan Sheikh,Split Payment (UPI + Card),35331.59,Completed,2026-08-08
ORD-5018,2026-08-04,Dhruv Kashyap,Card,38250.13,Completed,2026-08-06
ORD-5028,2026-07-15,Devansh Oberoi,Bank Transfer (NEFT),6873.25,Completed,2026-07-17
ORD-5039,2026-07-10,Zoya Siddiqui,Split Payment (NEFT + Cash),50473.6,Completed,2026-07-12
ORD-5019,2026-07-13,Aryan Dutta,Card,2350.3,Completed,2026-07-15
ORD-5033,2026-07-24,Chitra Ramachandran,Cash,7411.94,Completed,2026-07-25
ORD-5025,2026-07-25,Sanya Kapoor,Bank Transfer (NEFT),30980.83,Completed,2026-07-27
ORD-5010,2026-07-30,Zara Hussain,UPI,6188.25,Completed,2026-08-01
ORD-5040,2026-07-28,Ashwin Nagarajan,Card,3472.48,Payment Failed - No Record,2026-07-30
ORD-5031,2026-07-27,Naina Talwar,Bank Transfer (NEFT),27519.04,Completed,2026-07-29
ORD-5003,2026-08-09,Owais Ahmed,UPI,16100.66,Completed,2026-08-11
ORD-5022,2026-07-04,Chitra Ramachandran,Card,35723.32,Completed,2026-07-06
ORD-5012,2026-07-18,Kabir Anand,UPI,10501.08,Completed,2026-07-20
ORD-5035,2026-07-07,Roshni Pillai,Cash,8446.11,Completed,2026-07-08
ORD-5023,2026-07-11,Kabir Anand,Card,20441.83,Completed,2026-07-13
ORD-5002,2026-07-17,Lakshmi Narayan,UPI,4984.45,Completed,2026-07-19
ORD-5013,2026-07-26,Imran Qureshi,UPI,3202.59,Completed,2026-07-28
ORD-5024,2026-07-22,Ira Sharma,Card,12790.83,Completed,2026-07-24
ORD-5030,2026-08-08,Harsh Vardhan,Bank Transfer (NEFT),20902.0,Completed,2026-08-10
ORD-5017,2026-07-22,Tara D'Souza,Card,4143.16,Refunded,2026-07-24
ORD-5005,2026-07-07,Anushka Verma,UPI,1527.32,Partially Refunded,2026-07-09
ORD-5041,2026-08-06,Lakshmi Narayan,UPI,34902.13,Disputed - Under Investigation,2026-08-08
ORD-5036,2026-07-18,Nakul Grover,Cash,7938.62,Completed,2026-07-19
ORD-5020,2026-07-01,Faizan Sheikh,Card,48442.49,Completed,2026-07-03
ORD-5001,2026-07-13,Aryan Dutta,UPI,48077.11,Completed,2026-07-15
ORD-5026,2026-07-24,Manav Chugh,Bank Transfer (NEFT),46893.24,Completed,2026-07-26
ORD-5027,2026-07-06,Yusuf Merchant,Bank Transfer (NEFT),1484.92,Completed,2026-07-08
ORD-5006,2026-07-31,Kritika Malhotra,UPI,43942.76,Completed - Duplicate Charge Flagged,2026-08-02
ORD-5007,2026-08-08,Manav Chugh,UPI,41279.08,Completed,2026-08-10
ORD-5009,2026-07-30,Leela Krishnamurthy,UPI,14778.68,Completed,2026-08-01
ORD-5014,2026-07-10,Owais Ahmed,UPI,19487.93,Completed,2026-07-12
ORD-5037,2026-07-05,Simran Kaur,Cash,2449.93,Completed,2026-07-06
ORD-5032,2026-08-01,Farhan Ali,Cash,6005.3,Completed,2026-08-02
ORD-5029,2026-07-27,Rajeev Bakshi,Bank Transfer (NEFT),41432.97,Completed,2026-07-29
