settlement_id,date,description,amount,Type,Mode,Auth Code,Card Network,Card Last 4,Status,utr,Time
CV3001,2026-07-24,Cash Sale - Chitra Ramachandran - ORD-5033,7411.94,Receipt,Cash,,,,,,
CV3000,2026-08-01,Cash Sale - Farhan Ali - ORD-5032,6095.3,Receipt,Cash,,,,,,
CV3003,2026-07-07,Cash Sale - Roshni Pillai - ORD-5035,8446.11,Receipt,Cash,,,,,,
CV3008,2026-08-07,Courier Charges,2372.71,Payment,Petty Cash,,,,,,
CV3007,2026-07-12,Office Supplies Purchase,3436.0,Payment,Petty Cash,,,,,,
CV3010,2026-07-10,Cash Sale (partial) - Zoya Siddiqui - ORD-5039,15142.08,Receipt,Cash,,,,,,
CV3004,2026-07-18,Cash Sale - Nakul Grover - ORD-5036,7938.62,Receipt,Cash,,,,,,
CV3005,2026-07-05,Cash Sale - Simran Kaur - ORD-5037,2449.93,Receipt,Cash,,,,,,
CV3006,2026-08-04,Petty Cash - Pantry,6684.84,Payment,Petty Cash,,,,,,
CV3009,2026-07-11,Staff Reimbursement,6525.98,Payment,Petty Cash,,,,,,
CV3002,2026-07-05,Cash Sale - Tara D'Souza - ORD-5034,6016.68,Receipt,Cash,,,,,,
PGREF327306,2026-07-26,,-4143.16,,,106704,VISA,6849.0,REFUNDED,PGREF327306,
PGREF721458,2026-07-13,,2350.3,,,298474,MasterCard,2720.0,CAPTURED,PGREF721458,
PGREF387053,2026-07-13,,48167.6,,,619573,MasterCard,8977.0,DECLINED,PGREF387053,
PGREF355008,2026-07-22,,12790.83,,,508206,MasterCard,8691.0,CAPTURED,PGREF355008,
PGREF522486,2026-07-03,,29848.33,,,743017,VISA,5511.0,CAPTURED,PGREF522486,
PGREF755022,2026-07-04,,45294.38,,,733819,VISA,2410.0,DECLINED,PGREF755022,
PGREF213934,2026-07-22,,4143.16,,,592368,Amex,7834.0,CAPTURED,PGREF213934,
PGREF215011,2026-07-01,,48442.49,,,234346,Amex,3111.0,CAPTURED,PGREF215011,
PGREF935466,2026-07-11,,20441.83,,,685511,Amex,3480.0,CAPTURED,PGREF935466,
PGREF799702,2026-07-30,,26244.9,,,113885,MasterCard,8406.0,CAPTURED,PGREF799702,
PGREF883437,2026-07-30,,17496.6,,,387450,VISA,8985.0,CAPTURED,PGREF883437,
PGREF376856,2026-07-02,,16483.74,,,445201,VISA,4670.0,DECLINED,PGREF376856,
PGREF402225,2026-07-04,,35723.32,,,164817,VISA,5869.0,CAPTURED,PGREF402225,
PGREF225158,2026-08-06,,17665.8,,,153588,VISA,8803.0,CAPTURED,PGREF225158,
PGREF865458,2026-08-04,,38250.13,,,782878,MasterCard,3818.0,CAPTURED,PGREF865458,
UPI2026076279433331,2026-07-03,cust683@okhdfcbank,14278.95,,,,,,SUCCESS,326389362837.0,11:03:00
UPI2026079636537404,2026-07-26,imran9@oksbi,3202.59,,,,,,SUCCESS,830780637260.0,14:40:00
UPI2026078827343191,2026-07-31,kritika45@ibl,43942.76,,,,,,SUCCESS,843539893842.0,10:33:00
UPI2026076129680225,2026-07-17,lakshmi27@okicici,4984.45,,,,,,SUCCESS,612948605748.0,11:30:00
UPI2026071674169845,2026-07-17,lakshmi61@paytm,4984.45,,,,,,FAILED,,11:10:00
UPI2026079292586505,2026-08-08,manav23@oksbi,41279.08,,,,,,SUCCESS,705128462495.0,20:29:00
UPI2026076587274362,2026-07-31,kritika24@okhdfcbank,43942.76,,,,,,SUCCESS,194290344733.0,10:31:00
UPI2026080658704940,2026-08-10,cust570@paytm,15889.98,,,,,,FAILED,,16:13:00
UPI2026077936174703,2026-07-30,leela12@ybl,14778.68,,,,,,SUCCESS,271529223415.0,08:12:00
UPI2026071470761214,2026-07-30,zara13@ybl,6188.25,,,,,,SUCCESS,297085632721.0,11:27:00
UPI2026077421181574,2026-07-07,anushka2@ybl,1527.32,,,,,,SUCCESS,572594932350.0,13:50:00
UPI2026080774984728,2026-07-13,aryan28@paytm,24038.55,,,,,,SUCCESS,585207205443.0,22:45:00
UPI2026078183626851,2026-07-20,cust209@ibl,50666.75,,,,,,FAILED,,19:16:00
UPI2026072956556748,2026-07-10,owais87@paytm,19487.93,,,,,,SUCCESS,828053475481.0,13:07:00
UPI2026078185046454,2026-08-09,owais51@apl,16100.66,,,,,,SUCCESS,564840520082.0,18:21:00
UPI2026079748883801,2026-08-06,faizan73@okicici,17665.79,,,,,,SUCCESS,251152607773.0,17:56:00
UPI2026080660550679,2026-07-01,farhan73@okhdfcbank,44606.5,,,,,,SUCCESS,472821495030.0,18:25:00
UPI2026075749439372,2026-07-18,kabir3@okaxis,10501.08,,,,,,SUCCESS,479194722985.0,15:42:00
UPI2026072106345357,2026-07-13,aryan85@oksbi,24038.56,,,,,,SUCCESS,343103922853.0,22:34:00
UPI2026074724987299,2026-08-11,dhruv96@apl,16100.66,,,,,,SUCCESS,338216518828.0,18:21:00
UPI2026075844761879,2026-07-09,tara9@okhdfcbank,46038.79,,,,,,SUCCESS,703651368969.0,09:09:00
UPIRFD2026073379667731,2026-07-11,anushka52@paytm,-360.7,,,,,,REFUND,821109615369.0,13:50:00
