date,Value Date,utr,description,Debit (INR),Credit (INR),Type,Balance (INR),amount,bank_transaction_id
2026-06-11,2026-06-11,UTR390013653941,RAZORPAY SETTLEMENT BATCH 1,,110256.26,Settlement,478733.15,110256.26,UTR390013653941
2026-06-06,2026-06-06,UTR241704338575,NEFT-CR-ANANYANAIR,,19765.97,NEFT Transfer,180315.0,19765.97,UTR241704338575
2026-07-08,2026-07-08,UTR164987466619,NEFT-CR-KAVYAPILLAI,,24555.27,NEFT Transfer,83575.79,24555.27,UTR164987466619
2026-07-13,2026-07-13,UTR561780971572,NEFT-CR-YASHTRIVEDI,,43589.69,NEFT Transfer,113783.31,43589.69,UTR561780971572
2026-06-20,2026-06-20,UTR445212747285,BANK CHARGES - AMC,6359.48,,Charge,104409.21,-6359.48,UTR445212747285
2026-07-15,2026-07-15,UTR849436128201,RAZORPAY SETTLEMENT BATCH 6,,21992.41,Settlement,252842.14,21992.41,UTR849436128201
2026-07-09,2026-07-09,UTR531584687817,RAZORPAY SETTLEMENT BATCH 5,,93813.79,Settlement,61175.48,93813.79,UTR531584687817
2026-06-18,2026-06-18,UTR761994498018,RAZORPAY SETTLEMENT BATCH 2,,159535.34,Settlement,419097.65,159535.34,UTR761994498018
2026-07-13,2026-07-13,UTR885044013168,NEFT-CR-ARJUNMENON,,4568.45,NEFT Transfer,190253.6,4568.45,UTR885044013168
2026-06-25,2026-06-25,UTR407127718381,RAZORPAY SETTLEMENT BATCH 3,,211140.92,Settlement,449087.97,211140.92,UTR407127718381
2026-07-11,2026-07-11,UTR821164519235,NEFT-CR-RITUCHAWLA,,23666.84,NEFT Transfer,395226.39,23666.84,UTR821164519235
2026-07-12,2026-07-12,UTR823591853229,NEFT-CR-DEEPAKSINHA,,43932.81,NEFT Transfer,418953.96,43932.81,UTR823591853229
2026-06-22,2026-06-22,UTR537395650328,NEFT-UNKNOWN CREDIT,,11310.86,Adjustment,104018.61,11310.86,UTR537395650328
2026-06-10,2026-06-10,UTR130971191036,NEFT-CR-KARANMALHOTRA,,36475.57,NEFT Transfer,144426.75,36475.57,UTR130971191036
2026-06-10,2026-06-10,UTR898738891307,NEFT-CR-NISHAPATEL,,26835.23,NEFT Transfer,497285.13,26835.23,UTR898738891307
2026-06-28,2026-06-28,UTR980840883459,NEFT-CR-SIDDHARTHJAIN,,43172.42,NEFT Transfer,471314.45,43172.42,UTR980840883459
2026-06-13,2026-06-13,UTR376122730029,REVERSAL-CHARGEBACK,,13543.19,Adjustment,217499.9,13543.19,UTR376122730029
2026-07-04,2026-07-04,UTR502452768109,RAZORPAY SETTLEMENT BATCH 4,,192742.03,Settlement,154122.62,192742.03,UTR502452768109
