Transaction ID,Order ID,VPA / Phone,Date,Amount,UTR,Status
UPI2026641533224,ORD4002,krishna575@oksbi,2026-07-02,4633.32,93700012621964,SUCCESS
UPI2026451109031,ORD4003,suresh349@okicici,2026-08-18,38708.45,29472646369774,SUCCESS
UPI2026556770619,ORD4004,vivaan550@okaxis,2026-08-08,12807.32,58705928833000,SUCCESS
UPI2026413741438,ORD4007,ritika702@okicici,2026-07-30,18306.94,17984901132451,SUCCESS
UPI2026742785277,ORD4012,rahul157@okicici,2026-08-10,14430.58,30757132452561,SUCCESS
UPI2026381120642,ORD4016,vivaan70@okaxis,2026-07-05,34020.19,52662945045779,SUCCESS
UPI2026373219824,ORD4017,kavya249@okhdfcbank,2026-08-16,44914.36,62203897019487,SUCCESS
UPI2026647897151,ORD4018,vivaan63@okhdfcbank,2026-07-30,41484.59,53371052246567,SUCCESS
UPI2026214965789,ORD4020,myra886@okhdfcbank,2026-07-11,19596.91,17517318938760,SUCCESS
UPI2026501959074,ORD4022,priya59@ybl,2026-07-04,28102.9,20305519951312,REFUNDED
UPI2026407774229,ORD4023,kavya593@ybl,2026-07-08,45205.37,15188559569253,SUCCESS
UPI2026191156287,ORD4025,kavya76@ybl,2026-07-30,29872.47,37389935567052,SUCCESS
UPI2026365428914,ORD4028,manoj95@paytm,2026-08-02,23526.25,64404209733660,SUCCESS
UPI2026817817881,ORD4031,ritika886@oksbi,2026-08-09,36012.5,32554757219856,SUCCESS
UPI2026384348276,ORD4033,anjali229@okaxis,2026-07-30,16881.16,94538916150327,SUCCESS
UPI2026943090865,ORD4037,priya683@okhdfcbank,2026-08-16,43217.24,51866232475190,SUCCESS
UPI2026637361002,ORD4038,sai416@ybl,2026-08-13,35948.24,10414837745591,SUCCESS
UPI2026876406444,ORD4039,amit524@okhdfcbank,2026-07-30,21289.46,31193024055640,SUCCESS
UPI2026896623525,ORD4040,pooja689@okicici,2026-07-06,39311.56,38318212526070,SUCCESS
UPI2026702221854,ORD4041,rahul736@paytm,2026-07-30,19981.0,59540209997973,SUCCESS
UPI2026102788238,ORD4042,sai52@ybl,2026-08-19,20493.25,41598737437558,REFUNDED
UPI2026526363836,ORD4045,arjun393@paytm,2026-08-04,4005.64,29334962281102,SUCCESS
UPI2026601454696,ORD4049,arjun187@okaxis,2026-07-06,30905.57,43458110524275,REFUNDED
UPI2026585668371,ORD4050,aadhya855@okaxis,2026-08-18,45665.12,70920422004102,FAILED
UPI2026544761823,ORD4051,rahul773@okaxis,2026-08-11,3433.39,41782987331574,SUCCESS
UPI2026306218367,ORD4053,ritika590@paytm,2026-07-07,27840.06,58317819329568,SUCCESS
UPI2026905074336,ORD4054,rohan816@ybl,2026-07-07,33510.69,15685606781064,SUCCESS
UPI2026215679639,ORD4057,kiara345@okaxis,2026-07-29,11818.87,73460137100173,SUCCESS
UPI2026436709938,ORD4058,suresh570@okaxis,2026-07-18,42273.31,76310230327999,REFUNDED
UPI2026725031966,ORD4059,suresh459@okaxis,2026-08-14,22931.06,21341781900773,SUCCESS
UPI2026947191135,ORD4060,diya764@ybl,2026-07-31,26633.68,52870310160681,SUCCESS
